user_pk,username,profile_pic_url,like_count,reply_count,text,text_translated,created_at,stats,stats_en
UCUh5ADHoPWWj7BMVgmVSABQ,İbrahim Şamil Ceyişakar,https://yt3.ggpht.com/ytc/AGIKgqO1hu4cKBDmSo3sNVYVTwJwHOOcd5Fk8MHVBKn3=s48-c-k-c0x00ffffff-no-rj,,,Bayıldım,I love it,1 minute ago,"{'polarity': 0.0, 'subjectivity': 0.0, 'afinn': 0.0}","{'polarity': 0.5, 'subjectivity': 0.6, 'afinn': 3.0}"
UCUh5ADHoPWWj7BMVgmVSABQ,İbrahim Şamil Ceyişakar,https://yt3.ggpht.com/ytc/AGIKgqO1hu4cKBDmSo3sNVYVTwJwHOOcd5Fk8MHVBKn3=s48-c-k-c0x00ffffff-no-rj,,,Kardeş sen müzik falan yapma be...,"Brother, don't make music or something...",24 minutes ago,"{'polarity': 0.0, 'subjectivity': 0.0, 'afinn': 0.0}","{'polarity': 0.0, 'subjectivity': 0.0, 'afinn': 0.0}"
UCUh5ADHoPWWj7BMVgmVSABQ,İbrahim Şamil Ceyişakar,https://yt3.ggpht.com/ytc/AGIKgqO1hu4cKBDmSo3sNVYVTwJwHOOcd5Fk8MHVBKn3=s48-c-k-c0x00ffffff-no-rj,,,Bayıldım <3,I love it <3,24 minutes ago,"{'polarity': 1.0, 'subjectivity': 1.0, 'afinn': 0.0}","{'polarity': 0.75, 'subjectivity': 0.8, 'afinn': 3.0}"
UCUh5ADHoPWWj7BMVgmVSABQ,İbrahim Şamil Ceyişakar,https://yt3.ggpht.com/ytc/AGIKgqO1hu4cKBDmSo3sNVYVTwJwHOOcd5Fk8MHVBKn3=s48-c-k-c0x00ffffff-no-rj,,,Fena değil,No bad,24 minutes ago,"{'polarity': 0.0, 'subjectivity': 0.0, 'afinn': 0.0}","{'polarity': 0.3499999999999999, 'subjectivity': 0.6666666666666666, 'afinn': -4.0}"
UCUh5ADHoPWWj7BMVgmVSABQ,İbrahim Şamil Ceyişakar,https://yt3.ggpht.com/ytc/AGIKgqO1hu4cKBDmSo3sNVYVTwJwHOOcd5Fk8MHVBKn3=s48-c-k-c0x00ffffff-no-rj,,,"Do you call this music, omg my ears are bleeding...","Do you call this music, omg my ears are bleeding...",24 minutes ago,"{'polarity': 0.0, 'subjectivity': 0.0, 'afinn': 0.0}","{'polarity': 0.0, 'subjectivity': 0.0, 'afinn': 0.0}"
UCUh5ADHoPWWj7BMVgmVSABQ,İbrahim Şamil Ceyişakar,https://yt3.ggpht.com/ytc/AGIKgqO1hu4cKBDmSo3sNVYVTwJwHOOcd5Fk8MHVBKn3=s48-c-k-c0x00ffffff-no-rj,,,"İğrenç olmuş birader bu ne ya, sen buna müzik mi diyorsun","It's disgusting bro, what is this, you call it music?",25 minutes ago,"{'polarity': 0.0, 'subjectivity': 0.0, 'afinn': 0.0}","{'polarity': -1.0, 'subjectivity': 1.0, 'afinn': -3.0}"
UCUh5ADHoPWWj7BMVgmVSABQ,İbrahim Şamil Ceyişakar,https://yt3.ggpht.com/ytc/AGIKgqO1hu4cKBDmSo3sNVYVTwJwHOOcd5Fk8MHVBKn3=s48-c-k-c0x00ffffff-no-rj,,,"Not bad, but not good either...","Not bad, but not good either...",25 minutes ago,"{'polarity': -2.7755575615628914e-17, 'subjectivity': 0.6333333333333333, 'afinn': -5.0}","{'polarity': -2.7755575615628914e-17, 'subjectivity': 0.6333333333333333, 'afinn': -5.0}"
UCUh5ADHoPWWj7BMVgmVSABQ,İbrahim Şamil Ceyişakar,https://yt3.ggpht.com/ytc/AGIKgqO1hu4cKBDmSo3sNVYVTwJwHOOcd5Fk8MHVBKn3=s48-c-k-c0x00ffffff-no-rj,,,"Really liked this song, please keep up the good work mate :)","Really liked this song, please keep up the good work mate :)",25 minutes ago,"{'polarity': 0.6, 'subjectivity': 0.8000000000000002, 'afinn': 6.0}","{'polarity': 0.6, 'subjectivity': 0.8000000000000002, 'afinn': 6.0}"
UCUh5ADHoPWWj7BMVgmVSABQ,İbrahim Şamil Ceyişakar,https://yt3.ggpht.com/ytc/AGIKgqO1hu4cKBDmSo3sNVYVTwJwHOOcd5Fk8MHVBKn3=s48-c-k-c0x00ffffff-no-rj,,,"Gerçekten harika bir şarkı olmuş, sizi tebrik ediyorum, çok beğendim","It's really a great song, I congratulate you, I like it very much",26 minutes ago,"{'polarity': 0.0, 'subjectivity': 0.0, 'afinn': 0.0}","{'polarity': 0.53, 'subjectivity': 0.505, 'afinn': 7.0}"
UCUh5ADHoPWWj7BMVgmVSABQ,İbrahim Şamil Ceyişakar,https://yt3.ggpht.com/ytc/AGIKgqO1hu4cKBDmSo3sNVYVTwJwHOOcd5Fk8MHVBKn3=s48-c-k-c0x00ffffff-no-rj,,,Bajago haha :),Go down haha ​​:),2 weeks ago,"{'polarity': 0.35, 'subjectivity': 0.65, 'afinn': 3.0}","{'polarity': 0.18148148148148147, 'subjectivity': 0.5296296296296297, 'afinn': 3.0}"
UCUh5ADHoPWWj7BMVgmVSABQ,İbrahim Şamil Ceyişakar,https://yt3.ggpht.com/ytc/AGIKgqO1hu4cKBDmSo3sNVYVTwJwHOOcd5Fk8MHVBKn3=s48-c-k-c0x00ffffff-no-rj,,,Gatamuscik  =),Gatamuscik =),2 weeks ago,"{'polarity': 0.5, 'subjectivity': 1.0, 'afinn': 0.0}","{'polarity': 0.5, 'subjectivity': 1.0, 'afinn': 0.0}"
